,CODE,Port,Country,latitude,longitude
179,ARGGS,GOBERNADOR GREGORES,ARGENTINA,,
180,ARGHU,GUALEGUAYCHU,ARGENTINA,,
181,ARGNR,GENERAL ROCA,ARGENTINA,,
182,ARGPO,GENERAL PICO,ARGENTINA,,
183,ARHOS,CHOS MALAL,ARGENTINA,,
184,ARIBY,IBICUY,ARGENTINA,,
185,ARIGB,INGENIERO JACOBACCI,ARGENTINA,,
186,ARIGR,IGUAZU,ARGENTINA,,
187,ARING,LAGO ARGENTINO,ARGENTINA,,
188,ARIRJ,LA RIOJA,ARGENTINA,,
189,ARJNI,JUNIN,ARGENTINA,,
190,ARJSM,JOSE DE SAN MARTIN,ARGENTINA,,
191,ARJUJ,JUJUY,ARGENTINA,,
192,ARLCM,LA CUMBRE,ARGENTINA,,
193,ARLCP,LONCOPUE,ARGENTINA,,
194,ARLGS,MALARGUE,ARGENTINA,,
195,ARLHS,LAS HERAS,ARGENTINA,,
196,ARLLS,LAS LOMITAS,ARGENTINA,,
197,ARLMD,LOS MENUCOS,ARGENTINA,,
198,ARLPG,LA PLATA,ARGENTINA,,
199,ARLQU,LA QUIACA,ARGENTINA,,
200,ARLUQ,SAN LUIS,ARGENTINA,,
201,ARMCS,MONTE CASEROS,ARGENTINA,,
202,ARMDQ,MAR DEL PLATA,ARGENTINA,-38.0,-57.53333333333333
203,ARMDX,MERCEDES,ARGENTINA,,
204,ARMDZ,MENDOZA,ARGENTINA,,
205,ARMJR,MIRAMAR,ARGENTINA,,
206,ARMQD,MAQUINCHAO,ARGENTINA,,
207,ARNEC,NECOCHEA,ARGENTINA,-38.516666666666666,-58.766666666666666
208,ARNQN,NEUQUEN,ARGENTINA,,
209,AROES,SAN ANTONIO OESTE,ARGENTINA,,
210,AROLN,COLONIA SARMIENTO,ARGENTINA,,
211,ARORA,ORAN,ARGENTINA,,
212,AROYA,GOYA,ARGENTINA,,
213,AROYO,TRES ARROYOS,ARGENTINA,,
214,ARPBG,PUERTO BELGRANO/BAHI,ARGENTINA,,
215,ARPCO,PUNTA COLORADA,ARGENTINA,,
216,ARPCY,PILCOMAYO,ARGENTINA,,
217,ARPEH,PEHUAJO,ARGENTINA,,
218,ARPGV,PUERTO GALVAN/BAHIA,ARGENTINA,,
219,ARPLO,PUNTA LOYOLA,ARGENTINA,,
220,ARPMQ,PERITO MORENO,ARGENTINA,,
221,ARPMY,PUERTO MADRYN,ARGENTINA,-42.766666666666666,-57.88333333333333
222,ARPNL,PUERTO NACIONAL/BAHI,ARGENTINA,,
223,ARPOC,POCITOS,ARGENTINA,,
224,ARPQU,PUNTA QUILLA,ARGENTINA,,
225,ARPRA,PARANA,ARGENTINA,,
226,ARPRQ,PRES. ROQUE SAENZ PE,ARGENTINA,,
227,ARPRS,PUERTO ROSALES/BAHIA,ARGENTINA,,
228,ARPSS,POSADAS,ARGENTINA,,
229,ARPUB,PUERTO BORGHI,ARGENTINA,,
230,ARPUD,PUERTO DESEADO,ARGENTINA,,
231,ARQLV,OLIVOS,ARGENTINA,,
232,ARQPQ,PINAMAR,ARGENTINA,,
233,ARQQN,QUEQUÉN,ARGENTINA,,
234,ARRAM,RAMALLO,ARGENTINA,,
235,ARRCQ,RECONQUISTA,ARGENTINA,,
236,ARRCU,RIO CUARTO,ARGENTINA,,
237,ARRDS,RINCON DE LOS SAUCES,ARGENTINA,,
238,ARREL,TRELEW,ARGENTINA,,
239,ARRES,RESISTENCIA,ARGENTINA,,
240,ARRGA,RIO GRANDE,ARGENTINA,,
241,ARRGL,RIO GALLEGOS,ARGENTINA,-51.61666666666667,-68.96666666666667
242,ARRHD,RIO HONDO,ARGENTINA,,
243,ARRLA,RECALADA,ARGENTINA,,
244,ARROS,ROSARIO,ARGENTINA,-32.95,-60.55
245,ARROY,RIO MAYO,ARGENTINA,,
