candidateID;vote;stateFips;countyFips;progressReporting;progressTotal;electors;holdingParty;party;ballotOrder;fullName;incumbent;aggregable;tot_county_votes;votePct
13755;56;05;05045;51;51;6.0;gop;ind;5.0;Roque De La Fuente;False;True;54428;0.1
13751;53;05;05045;51;51;6.0;gop;cst;2.0;Don Blankenship;False;True;54428;0.1
13757;51;05;05045;51;51;6.0;gop;ind;11.0;Brock Pierce;False;True;54428;0.09
13756;15;05;05045;51;51;6.0;gop;ind;6.0;C.L. Gammon;False;True;54428;0.03
12686;5677;05;05047;39;39;6.0;gop;gop;12.0;Donald Trump;True;False;7129;79.63
13356;1300;05;05047;39;39;6.0;gop;dem;1.0;Joe Biden;False;False;7129;18.24
13753;67;05;05047;39;39;6.0;gop;lib;8.0;Jo Jorgensen;False;True;7129;0.94
13769;17;05;05047;39;39;6.0;gop;ind;4.0;Phil Collins;False;True;7129;0.24
13750;15;05;05047;39;39;6.0;gop;asp;3.0;Brian Carroll;False;True;7129;0.21
13751;11;05;05047;39;39;6.0;gop;cst;2.0;Don Blankenship;False;True;7129;0.15
13758;11;05;05047;39;39;6.0;gop;ind;13.0;Kanye West;False;True;7129;0.15
13755;10;05;05047;39;39;6.0;gop;ind;5.0;Roque De La Fuente;False;True;7129;0.14
13754;9;05;05047;39;39;6.0;gop;grn;7.0;Howie Hawkins;False;True;7129;0.13
13757;5;05;05047;39;39;6.0;gop;ind;11.0;Brock Pierce;False;True;7129;0.07
13756;4;05;05047;39;39;6.0;gop;ind;6.0;C.L. Gammon;False;True;7129;0.06
13759;3;05;05047;39;39;6.0;gop;oth;10.0;J.R. Myers;False;True;7129;0.04
13752;0;05;05047;39;39;6.0;gop;psl;9.0;Gloria La Riva;False;True;7129;0.0
12686;3961;05;05049;10;10;6.0;gop;gop;12.0;Donald Trump;True;False;5119;77.38
13356;1035;05;05049;10;10;6.0;gop;dem;1.0;Joe Biden;False;False;5119;20.22
13753;38;05;05049;10;10;6.0;gop;lib;8.0;Jo Jorgensen;False;True;5119;0.74
13757;29;05;05049;10;10;6.0;gop;ind;11.0;Brock Pierce;False;True;5119;0.57
13751;14;05;05049;10;10;6.0;gop;cst;2.0;Don Blankenship;False;True;5119;0.27
13769;10;05;05049;10;10;6.0;gop;ind;4.0;Phil Collins;False;True;5119;0.2
13758;9;05;05049;10;10;6.0;gop;ind;13.0;Kanye West;False;True;5119;0.18
13755;7;05;05049;10;10;6.0;gop;ind;5.0;Roque De La Fuente;False;True;5119;0.14
13752;5;05;05049;10;10;6.0;gop;psl;9.0;Gloria La Riva;False;True;5119;0.1
13754;4;05;05049;10;10;6.0;gop;grn;7.0;Howie Hawkins;False;True;5119;0.08
13759;4;05;05049;10;10;6.0;gop;oth;10.0;J.R. Myers;False;True;5119;0.08
13756;2;05;05049;10;10;6.0;gop;ind;6.0;C.L. Gammon;False;True;5119;0.04
13750;1;05;05049;10;10;6.0;gop;asp;3.0;Brian Carroll;False;True;5119;0.02
12686;29069;05;05051;56;56;6.0;gop;gop;12.0;Donald Trump;True;False;44199;65.77
13356;14045;05;05051;56;56;6.0;gop;dem;1.0;Joe Biden;False;False;44199;31.78
13753;396;05;05051;56;56;6.0;gop;lib;8.0;Jo Jorgensen;False;True;44199;0.9
13751;137;05;05051;56;56;6.0;gop;cst;2.0;Don Blankenship;False;True;44199;0.31
13754;102;05;05051;56;56;6.0;gop;grn;7.0;Howie Hawkins;False;True;44199;0.23
13757;88;05;05051;56;56;6.0;gop;ind;11.0;Brock Pierce;False;True;44199;0.2
13758;88;05;05051;56;56;6.0;gop;ind;13.0;Kanye West;False;True;44199;0.2
13756;73;05;05051;56;56;6.0;gop;ind;6.0;C.L. Gammon;False;True;44199;0.17
13769;64;05;05051;56;56;6.0;gop;ind;4.0;Phil Collins;False;True;44199;0.14
13750;51;05;05051;56;56;6.0;gop;asp;3.0;Brian Carroll;False;True;44199;0.12
13759;31;05;05051;56;56;6.0;gop;oth;10.0;J.R. Myers;False;True;44199;0.07
13752;28;05;05051;56;56;6.0;gop;psl;9.0;Gloria La Riva;False;True;44199;0.06
13755;27;05;05051;56;56;6.0;gop;ind;5.0;Roque De La Fuente;False;True;44199;0.06
12686;6794;05;05053;18;18;6.0;gop;gop;12.0;Donald Trump;True;False;8200;82.85
13356;1268;05;05053;18;18;6.0;gop;dem;1.0;Joe Biden;False;False;8200;15.46
